market                                   side     ours   others    total    tgt qual self off  $/day
usgubewc-usgub-al-2026-11-03-rep         BUY         0  300,781  300,781  2,000    y   no   -   0.00
usgubewc-usgub-al-2026-11-03-rep         SELL        0   20,308   20,308  2,000    y   no   -   0.00
usgubewc-usgub-ar-2026-11-03-dem         BUY         0      276      276  2,000   NO   no   -   0.00
usgubewc-usgub-ar-2026-11-03-dem         SELL       25  130,731  130,756  2,000    y   no   0   5.04
usgubewc-usgub-ar-2026-11-03-rep         BUY         0  600,200  600,200  2,000    y   no   -   0.00
usgubewc-usgub-ar-2026-11-03-rep         SELL      239    2,225    2,464  2,000    y   no   0   5.95
usgubewc-usgub-co-2026-11-03-dem         BUY         0  600,202  600,202  2,000    y   no   -   0.00
usgubewc-usgub-co-2026-11-03-dem         SELL       40      244      284  2,000   NO   no   0   0.00
usgubewc-usgub-co-2026-11-03-rep         BUY       500    5,700    6,200  2,000    y   no   0   0.52
usgubewc-usgub-co-2026-11-03-rep         SELL       50  130,731  130,781  2,000    y   no   0   5.58
usgubewc-usgub-ct-2026-11-03-dem         BUY         5  500,209  500,214  2,000    y   no   0   2.27
usgubewc-usgub-ct-2026-11-03-dem         SELL      101    2,225    2,326  2,000    y   no   0   5.88
usgubewc-usgub-ct-2026-11-03-rep         BUY         0    6,300    6,300  2,000    y   no   -   0.00
usgubewc-usgub-ct-2026-11-03-rep         SELL        0  199,650  199,650  2,000    y   no   -   0.00
usgubewc-usgub-fl-2026-11-03-dem         BUY         0   12,470   12,470  2,000    y   no   -   0.00
usgubewc-usgub-fl-2026-11-03-dem         SELL        0  265,794  265,794  2,000    y   no   -   0.00
usgubewc-usgub-fl-2026-11-03-rep         BUY         0  500,202  500,202  2,000    y   no   -   0.00
usgubewc-usgub-fl-2026-11-03-rep         SELL        0   21,175   21,175  2,000    y   no   -   0.00
usgubewc-usgub-hi-2026-11-03-dem         BUY         0  500,530  500,530  2,000    y   no   -   0.00
usgubewc-usgub-hi-2026-11-03-dem         SELL      468    3,355    3,823  2,000    y   no   0   2.33
usgubewc-usgub-hi-2026-11-03-rep         BUY         0   11,276   11,276  2,000    y   no   -   0.00
usgubewc-usgub-hi-2026-11-03-rep         SELL        0  208,290  208,290  2,000    y   no   -   0.00
