open orders: 4639

market                                   side    px     qty   leaves     cum
   usgubewc-usgub-wy-2026-11-03-dem         quantity 132.00
   usgubewc-usgub-wy-2026-11-03-dem         quantity 132.00
   usgubewc-usgub-wy-2026-11-03-dem         quantity 132.00
   usgubewc-usgub-wy-2026-11-03-dem         quantity 132.00
   usgubewc-usgub-wy-2026-11-03-dem         quantity 132.00
   usgubewc-usgub-wy-2026-11-03-dem         quantity 132.00
   usgubewc-usgub-wy-2026-11-03-dem         quantity 132.00
   usgubewc-usgub-wy-2026-11-03-dem         quantity 79.00
   usgubewc-usgub-ar-2026-11-03-rep         quantity 159.00
   usgubewc-usgub-ar-2026-11-03-rep         quantity 210.41
   ussewc-usse-ri-2026-11-03-dem            quantity 120.28
   ussewc-usse-co-2026-11-03-dem            quantity 102.78
   ussewc-usse-co-2026-11-03-dem            quantity 120.28
   usgubewc-usgub-pa-2026-11-03-rep         quantity 120.27
   usgubewc-usgub-pa-2026-11-03-rep         quantity 193.91
   usgubewc-usgub-pa-2026-11-03-rep         quantity 131.00
   usgubewc-usgub-pa-2026-11-03-rep         quantity 134.22
   usgubewc-usgub-pa-2026-11-03-rep         quantity 140.35
   usgubewc-usgub-pa-2026-11-03-rep         quantity 134.26
   usgubewc-usgub-ri-2026-11-03-dem         quantity 148.43
   usgubewc-usgub-ri-2026-11-03-dem         quantity 148.43
   usgubewc-usgub-ri-2026-11-03-dem         quantity 148.43
   usgubewc-usgub-ri-2026-11-03-dem         quantity 148.43
   usgubewc-usgub-ri-2026-11-03-dem         quantity 148.43
   usgubewc-usgub-ri-2026-11-03-dem         quantity 148.43
   usgubewc-usgub-ri-2026-11-03-dem         quantity 156.43
   usgubewc-usgub-ri-2026-11-03-dem         quantity 156.43
   usgubewc-usgub-ri-2026-11-03-dem         quantity 98.00
   usgubewc-usgub-ri-2026-11-03-dem         quantity 148.43
   usgubewc-usgub-ri-2026-11-03-dem         quantity 148.43

99c asks with REAL FILLS (cumQuantity > 0): 1
   usgubewc-usgub-sd-2026-11-03-rep         filled 40.00

non-zero positions in the new races: 12
   usgubewc-usgub-ct-2026-11-03-dem         net -5.00
   usgubewc-usgub-mn-2026-11-03-dem         net +25.00
   usgubewc-usgub-mn-2026-11-03-rep         net +11.00
   usgubewc-usgub-nh-2026-11-03-rep         net -25.00
   usgubewc-usgub-sd-2026-11-03-rep         net -40.00
   usgubewc-usgub-tx-2026-11-03-rep         net +10.00
   ussewc-usse-la-2026-11-03-rep            net +3.00
   ussewc-usse-ma-2026-11-03-dem            net -25.00
   ussewc-usse-ms-2026-11-03-rep            net +15.00
   ussewc-usse-sc-2026-11-03-rep            net -6.00
   ussewc-usse-va-2026-11-03-rep            net +40.00
   ussewc-usse-wy-2026-11-03-dem            net +85.00
