ts,family,market,side,qty,px,purpose,est_day,rested_h,fair,band_lo,band_hi,conf,touch_bid,touch_ask,conc,pos_after,why
1787355685.7,politics,enwc-uspres-nom-rep-2028-marrub,BUY,1,0.25,earn,6.8553,0.58,,21,28,0,0.21,0.26,0.01,2,4 ticks in front of the touch — closer to the midpoint; ~95.4% of the bid side
1787355852.8,politics,usgubewc-usgub-ok-2026-11-03-rep,SELL,4.96,0.87,earn,6.25,0.68,0.99425,86,91,0,0.86,0.87,0.1242,-4.96,2 ticks in front of the touch — closer to the midpoint; ~89.4% of the ask side
1787356735.2,politics,usgubewc-usgub-tx-2026-11-03-rep,BUY,1,0.91,sell,3.1246,8.11,0.8749,83,90,0.409,0.87,0.92,0.0351,-8,an exit — its fill reduces the position it sits on
1787356735.2,politics,usgubewc-usgub-tx-2026-11-03-rep,BUY,1,0.91,sell,3.1246,7.11,0.8749,82,89,0.604,0.87,0.92,0.0351,-7,an exit — its fill reduces the position it sits on
1787359480.5,cfb,aachc-cfb-wins-2026-11-28-okl-6pt5wins,SELL,1,0.65,earn,2.5,1.81,,62,68,0,0.64,0.94,0,-3,joins the touch — the book has been quiet
1787360306.6,cfb,aachc-cfb-wins-2026-11-28-byu-10pt5wins,BUY,1,0.33,earn,2.2441,4.35,,27,34,0.598,0.16,0.19,0.03,3,1 tick behind the touch; ~85.9% of the bid side
1787360426.6,politics,scc-hrep-rep-2026-11-03-gte200,BUY,0.99,0.95,earn,3.9308,0.02,0.636825,61,73,0,0.95,0.96,0.3132,0.99,joins the touch — the book has been quiet
1787361446.6,politics,usgubewc-usgub-md-2026-11-03-dem,SELL,1,0.75,earn,6.25,3.45,0.99985,83,90,0,0.88,0.98,0.2499,-1,joins the touch — the book has been quiet
1787361446.6,politics,ussewc-usse-va-2026-11-03-dem,SELL,1,0.77,earn,6.25,2.85,0.994425,77,85,0,0.76,0.99,0.2244,-1,joins the touch — the book has been quiet
1787361506.6,politics,usgubewc-usgub-me-2026-11-03-dem,SELL,1,0.81,earn,6.25,5.34,0.986825,85,92,0,0.87,0.97,0.1768,-1,joins the touch — the book has been quiet
1787361566.6,politics,ussewc-usse-mt-2026-11-03-rep,SELL,10,0.81,earn,0.8503,3.55,0.98265,81,89,0,0.83,0.98,0.1726,-10,joins the touch — the book has been quiet
1787361566.6,politics,enwc-usgubp-ma-2026-09-01-rep-micmin,SELL,49.99,0.93,earn,4.1665,0.72,0.000625,89,94,0,0.92,0.93,-0.9294,-49.99,at the touch — a fill here is 93 ticks inside value (Silver + evidence)
1787361626.6,politics,usgubewc-usgub-vt-2026-11-03-rep,SELL,20,0.85,earn,6.25,1.1,0.905175,84,89,0,0.84,0.97,0.0552,-20,joins the touch — the book has been quiet
1787361746.6,politics,usgubewc-usgub-sc-2026-11-03-rep,SELL,50,0.85,earn,6.25,7.4,0.971475,84,91,0,0.85,0.98,0.1215,-50,joins the touch — the book has been quiet
1787361866.6,politics,ussewc-usse-ks-2026-11-03-rep,SELL,20,0.78,earn,6.25,4.26,0.828725,77,83,0,0.78,0.9,0.0487,-20,1 tick in front of the touch — closer to the midpoint; ~93.0% of the ask side
1787361926.6,politics,ussewc-usse-nj-2026-11-03-dem,SELL,1,0.92,earn,0.4167,0.35,0.995625,91,98,0,0.91,0.92,0.0756,-1,7 ticks in front of the touch — closer to the midpoint; ~99.8% of the ask side
1787362226.6,politics,usgubewc-usgub-hi-2026-11-03-rep,BUY,1,0.19,earn,6.25,6.5,7.5e-05,6,14,0,0.01,0.1,0.1899,1,2 ticks in front of the touch — closer to the midpoint; ~99.0% of the bid side
1787362226.6,politics,ussewc-usse-or-2026-11-03-rep,BUY,1,0.18,earn,6.25,4.7,0.00135,6,12,0,0.01,0.1,0.1787,1,joins the touch — the book has been quiet
1787362226.6,politics,usgubewc-usgub-md-2026-11-03-rep,BUY,1,0.17,earn,6.1758,0.45,0.00015,3,11,0,0.07,0.11,0.1699,1,joins the touch — the book has been quiet
1787362706.6,politics,ussewc-usse-ks-2026-11-03-dem,BUY,1,0.26,earn,0.4164,0.67,0.171275,14,24,0,0.21,0.27,0.0887,1,joins the touch — the book has been quiet
1787363066.6,cfb,aachc-cfb-wins-2026-11-28-mich-9pt5wins,BUY,1,0.38,earn,2.4491,6.82,,37,44,0,0.38,0.42,-0.02,1,1 tick in front of the touch — closer to the midpoint; ~99.0% of the bid side
1787363066.6,cfb,aachc-cfb-wins-2026-11-28-txam-9pt5wins,BUY,1,0.48,earn,1.5385,6.56,,41,47,0,0.48,0.49,0.04,1,3 ticks in front of the touch — closer to the midpoint; ~61.5% of the bid side
1787363066.6,cfb,aachc-cfb-wins-2026-11-28-smu-10pt5wins,BUY,1,0.4,earn,2.5,5.17,,33,40,0,0.4,0.41,0.04,1,1 tick behind the touch; ~98.0% of the bid side
1787363066.6,cfb,aachc-cfb-wins-2026-11-28-lsu-9pt5wins,BUY,1,0.48,sell,0.4166,3.09,,41,48,0,0.45,0.49,0.03,-1,an exit — its fill reduces the position it sits on
1787363066.6,cfb,aachc-cfb-wins-2026-11-28-rutger-5pt5wins,BUY,0.5,0.54,earn,2.3975,1.35,,52,62,0,0.54,0.55,-0.03,0.5,joins the touch — the book has been quiet
1787363066.6,cfb,aachc-cfb-wins-2026-11-28-lsu-9pt5wins,BUY,1,0.48,sell,0.4166,1.11,,40,47,0.455,0.45,0.49,0.04,0,an exit — its fill reduces the position it sits on
1787363066.6,cfb,aachc-cfb-wins-2026-11-28-wash-8pt5wins,BUY,0.2,0.6,sell,2.2469,0.13,,34,41,0.417,0.61,0.62,0.23,-0.8,an exit — its fill reduces the position it sits on
1787364086.7,cfb,aachc-cfb-wins-2026-11-28-ucf-4pt5wins,BUY,0.5,0.88,earn,2.451,8.92,,87,94,0,0.88,0.89,-0.02,0.5,1 tick in front of the touch — closer to the midpoint; ~49.5% of the bid side
1787364206.7,cfb,aachc-cfb-wins-2026-11-28-lsu-9pt5wins,BUY,1,0.48,earn,0.4166,0.33,,40,47,0.624,0.48,0.49,0.04,1,3 ticks in front of the touch — closer to the midpoint; ~16.7% of the bid side
1787364266.7,politics,enwc-usgubp-ma-2026-09-01-rep-brisho,BUY,68,0.06,earn,3.9057,0.02,,7,12,0.585,0.06,0.08,-0.04,70,1 tick behind the touch; ~62.5% of the bid side
1787364413.4,politics,enwc-ussep-ok-2026-08-25-dem-nkitho,SELL,1,0.92,earn,0.0619,0.69,,92,99,0.401,0.71,0.97,0.04,-1,5 ticks in front of the touch — closer to the midpoint; ~99.5% of the ask side
1787364473.4,politics,ussewc-usse-mt-2026-11-03-dem,BUY,1,0.08,earn,4.1524,1.06,0.01735,2,8,0,0.03,0.1,0.0626,1,5 ticks in front of the touch — closer to the midpoint; ~99.5% of the bid side
1787364653.4,politics,ussewc-usse-ar-2026-11-03-dem,BUY,50,0.13,earn,6.2437,8.74,0.01805,9,16,0,0.07,0.13,0.112,50,joins the touch — the book has been quiet
1787365193.5,politics,ussewc-usse-la-2026-11-03-dem,BUY,1,0.16,earn,6.25,0.18,0.041575,4,13,0,0.02,0.17,0.1184,1,3 ticks in front of the touch — closer to the midpoint; ~98.7% of the bid side
1787365253.5,politics,ussewc-usse-sc-2026-11-03-dem,BUY,1,0.17,earn,6.25,6.32,0.111875,12,18,0,0.17,0.18,0.0581,1,1 tick in front of the touch — closer to the midpoint; ~99.8% of the bid side
1787365373.5,politics,ewc-usp-2028-11-07-dwajoh,SELL,93.82,0.04,sell,0.4119,0.44,,1,4,0.86,0.02,0.04,-0.01,183.18,selling filled stock — it earns while it waits
1787365493.5,politics,usgubewc-usgub-ny-2026-11-03-rep,BUY,5,0.11,earn,0.5626,0.22,0.015825,6,12,0,0.09,0.12,0.0942,5,3 ticks in front of the touch — closer to the midpoint; ~88.6% of the bid side
1787365553.5,cfb,aachc-cfb-wins-2026-11-28-uk-6pt5wins,SELL,0.5,0.19,earn,0.8317,7.89,,16,22,0,0.18,0.19,0,-0.5,3 ticks in front of the touch — closer to the midpoint; ~79.5% of the ask side
1787365853.5,politics,enwc-uspres-nom-dem-2028-gavnew,SELL,1,0.38,earn,0.2262,0.99,,15,22,0,0.17,0.43,-0.2,-14,6 ticks in front of the touch — closer to the midpoint; ~99.7% of the ask side
1787366693.5,politics,cranc-uspres28-12-31-2026-jdvan,BUY,1,0.14,earn,1.4897,1.49,,9,16,0,0.08,0.15,0.02,1,2 ticks in front of the touch — closer to the midpoint; ~97.8% of the bid side
1787366693.5,politics,enwc-usgubp-ri-2026-09-09-dem-danmck,SELL,1,0.14,earn,4.1603,1.17,,5,11,0.748,0.13,0.19,-0.06,-17,2 ticks in front of the touch — closer to the midpoint; ~56.8% of the ask side
1787366761.4,politics,cranc-uspres28-12-31-2026-marrub,BUY,2,0.11,earn,1.4054,0.44,,5,14,0,0.05,0.06,0.02,2,3 ticks in front of the touch — closer to the midpoint; ~97.7% of the bid side
1787367720.7,politics,enwc-uspres-nom-dem-2028-jonoss,BUY,20,0.27,earn,4.8098,0.05,,23,30,0,0.27,0.28,0,20,joins the touch — the book has been quiet
